views,contacts,last_7_views,last_3_views,last_7_contacts,last_3_contacts,live_days,max_messages_events,messages_events,messages_users,avg_contacts_delta,max_contacts_delta,min_contacts_delta,mumur_advertid,AB_test_group,is_selling_3
116,1,75,24,1,0,10,0,0,0,0.0,0,0,1448270542,0,0
554,9,554,183,9,2,8,6,28,19,0.0,0,0,1406631289,0,0
135,0,135,45,0,1,7,2,5,4,0.0,0,0,782137394,1,0
263,17,93,70,10,10,17,2,10,7,0.0,4,-2,2056640268,1,1
838,28,130,39,2,1,24,3,39,31,0.0,0,0,3856477543,1,1
172,7,172,32,7,0,8,1,1,1,0.0,0,0,3503710745,0,0
141,3,141,57,3,0,8,1,1,1,-0.33,1,-2,3098346038,0,0
874,4,240,43,0,1,16,5,15,10,0.0,0,0,3360802086,1,0
608,8,608,188,8,1,8,1,12,12,0.0,1,-1,3508858356,0,1
475,8,166,44,4,1,26,2,16,14,-0.33,1,-1,1286208324,0,1
196,10,196,35,10,4,8,2,3,2,0.0,2,-2,1434384050,0,0
124,6,124,42,6,7,8,1,2,2,0.0,4,-4,3792720550,1,0
383,11,383,173,11,11,8,3,5,3,1.0,3,-2,2935721832,0,1
95,0,95,36,0,1,8,0,0,0,0.0,0,0,3012463562,1,0
2273,101,1423,229,61,14,11,4,47,35,0.0,0,0,3762116948,1,1
436,17,189,79,10,8,21,5,15,9,0.0,4,-3,1362433806,1,1
353,3,276,83,2,0,11,2,9,8,0.17,3,-3,2326360621,0,0
874,4,240,43,0,1,16,5,15,10,0.0,0,0,2254851579,1,0
85,3,85,13,3,0,8,1,1,1,-0.5,0,-3,3370068400,0,0
146,0,146,56,0,0,8,1,4,4,0.0,0,0,3594203312,0,0
3540,64,1093,357,21,8,21,5,23,15,0.0,0,0,3220642865,1,1
90,0,90,14,0,0,8,0,0,0,0.0,0,0,2168038117,0,0
985,14,379,67,7,3,14,3,19,17,-0.17,2,-3,1683665496,0,0
898,23,444,35,4,1,16,3,11,8,-0.33,1,-2,1844550342,0,1
193,5,193,193,5,6,1,2,4,3,0.0,0,0,3021759238,1,1
512,0,512,512,0,0,4,1,1,1,0.0,0,0,2743268851,0,1
1478,25,717,444,12,10,28,3,17,14,-0.67,0,-3,2149411828,1,0
1522,43,102,30,6,5,25,3,16,10,-0.5,0,-2,345407913,0,0
116,4,116,58,4,3,5,8,11,4,0.0,2,-2,3220988518,1,1
196,6,196,84,6,5,8,2,5,4,-0.17,2,-2,3961158627,0,0
600,4,600,600,4,5,2,2,12,10,0.0,4,-4,2703642978,1,1
71,0,71,4,0,0,8,1,1,1,0.0,0,0,3430004376,0,0
564,22,202,71,15,10,22,4,18,9,0.0,0,0,3140728149,1,0
56,0,56,17,0,0,8,1,1,1,0.0,0,0,3056797228,0,0
2490,71,1044,343,22,6,16,4,42,29,0.0,0,0,131097888,0,0
1324,30,548,239,14,8,18,4,25,17,0.0,0,0,1379288501,0,1
266,2,266,85,2,2,8,1,2,2,0.0,1,-1,2939062351,1,0
4353,78,2129,907,43,4,16,4,72,51,-1.5,8,-9,900940366,1,1
574,32,574,574,32,32,3,11,21,9,0.0,0,0,1384433896,0,1
40,4,40,40,4,5,4,0,0,0,0.0,4,-4,425575939,1,1
121,4,32,4,2,0,16,4,6,3,0.0,2,-2,3981025504,0,0
2312,14,2312,809,14,6,8,2,5,4,-0.83,4,-5,3207085653,0,0
948,25,274,66,7,2,10,3,18,10,0.0,1,-1,463203592,1,0
550,21,550,167,21,4,8,1,4,4,-0.33,1,-1,522057644,0,0
158,2,110,26,1,1,9,1,2,2,0.0,1,-1,2062876199,1,0
8019,27,978,415,1,2,41,3,75,58,0.0,1,-2,1583791147,1,0
373,11,98,75,4,2,34,2,19,14,0.0,0,0,1492835435,0,0
351,5,351,96,5,0,8,1,5,5,-0.17,0,-1,4194854500,0,0
266,11,266,122,11,9,8,1,3,3,0.0,3,-4,3123582577,1,0
1371,19,196,50,0,1,39,2,22,17,-0.17,0,-1,4265263153,1,0
367,1,367,85,1,1,8,1,3,3,0.0,0,0,3412113597,1,0
1496,5,332,84,1,0,35,1,5,5,0.0,2,-2,1730900737,0,0
373,16,373,151,16,10,6,3,4,2,-0.33,3,-5,1211845113,1,1
979,16,979,697,16,15,7,3,17,15,0.0,0,0,1051772359,1,0
162,0,162,52,0,0,8,1,1,1,0.0,0,0,1474222818,0,0
1150,17,191,74,0,1,41,2,13,11,0.0,0,0,764501780,1,1
247,12,247,58,12,5,8,2,4,3,-0.5,2,-3,3956507210,1,0
874,4,240,43,0,1,16,5,15,10,0.0,0,0,289718927,1,0
845,8,845,348,8,3,8,2,20,17,0.0,0,0,507740345,1,0
613,13,613,323,13,11,8,3,16,12,0.5,4,-3,921709942,1,1
230,4,230,71,4,0,8,0,0,0,-0.33,0,-1,993658042,0,0
556,38,313,110,28,9,16,7,19,11,0.17,1,-1,2832736552,0,0
28,2,28,28,2,2,4,0,0,0,0.0,1,-1,3334180806,0,0
103,6,103,103,6,7,1,1,1,1,0.0,6,-6,2058901915,1,1
1097,21,1097,806,21,19,6,2,9,8,0.0,0,0,4164340524,0,0
103,5,101,8,5,1,8,2,8,7,0.0,4,-4,2274310758,1,0
48,2,48,8,2,1,8,0,0,0,0.0,0,0,2160465436,1,0
159,2,159,42,2,1,8,1,1,1,0.0,2,-2,3897314257,1,0
372,35,372,116,35,14,8,2,9,7,-0.33,4,-6,1664204352,1,0
265,2,265,265,2,3,3,2,4,3,0.17,1,-1,1613790395,1,1
147,1,147,43,1,0,8,1,1,1,0.0,0,0,2438350684,0,0
31,8,31,13,8,4,8,1,1,1,0.0,4,-4,41829421,0,0
255,2,255,255,2,3,4,1,4,4,-0.5,0,-3,1647578576,1,0
274,3,274,25,3,2,8,1,2,2,-0.33,1,-2,3692891512,1,1
957,18,957,294,18,6,8,2,6,5,0.0,0,0,2320018106,0,0
852,24,852,273,24,10,8,2,7,6,-0.33,3,-5,2860842170,0,0
379,29,379,379,29,29,2,3,12,7,0.0,0,0,1122275153,0,1
29,1,11,6,0,1,24,0,0,0,0.0,0,0,1454467906,1,0
162,0,162,52,0,1,8,1,1,1,0.0,0,0,2735028481,1,0
111,1,111,111,1,1,4,0,0,0,0.0,1,-1,2126923548,0,1
71,2,71,25,2,1,8,0,0,0,-0.17,1,-1,616905459,0,0
472,4,77,17,2,0,32,3,15,9,0.0,0,0,1293109669,0,0
257,8,257,51,8,0,6,2,5,4,0.0,0,0,3890004944,0,0
1371,19,196,50,0,1,39,2,22,17,-0.17,0,-1,830898943,1,0
2622,73,1137,259,28,5,18,3,65,47,0.0,0,0,651405693,1,1
144,1,144,33,1,1,8,1,5,5,0.0,0,0,94198616,1,0
1780,14,334,84,2,2,24,4,27,19,0.0,1,-1,2257747564,1,0
708,1,214,68,0,1,16,2,3,2,0.0,0,0,1324434225,1,0
2936,28,480,267,10,3,37,2,9,8,0.0,0,0,4052312747,0,1
255,4,255,86,4,3,7,1,4,4,0.0,2,-2,2380901523,0,1
482,9,216,35,6,5,15,2,11,10,0.0,2,-2,1811032015,0,0
58,2,58,5,2,2,8,0,0,0,-0.17,1,-1,15743955,1,0
1825,43,1444,710,20,8,10,3,30,25,-0.33,3,-4,459840362,0,0
4391,35,265,88,4,2,34,5,43,31,0.0,0,0,3781105694,0,0
893,11,170,24,0,0,21,14,42,25,0.5,3,-1,1251978005,0,0
3638,69,1792,537,36,18,16,4,52,33,-0.83,7,-4,3187999515,1,1
1318,10,657,257,4,1,16,3,13,10,0.0,0,0,1108718257,0,0
175,1,175,43,1,1,8,1,2,2,0.0,0,0,1540276255,1,0
424,6,424,163,6,1,8,1,3,3,-0.33,0,-2,1267747882,1,0
518,2,331,82,2,2,11,1,1,1,0.0,1,-1,3302919757,1,0
69,1,69,11,1,1,8,1,2,2,-0.17,0,-1,738143365,1,0
69,1,69,16,1,1,8,1,1,1,-0.17,0,-1,704942918,1,1
80,4,80,80,4,5,1,0,0,0,0.0,4,-4,2301841075,1,1
1736,38,599,179,16,8,21,2,25,19,0.0,0,0,3749731004,0,0
213,7,213,48,7,1,8,2,4,3,-0.5,1,-2,1125402990,0,0
136,4,17,8,0,1,38,1,2,2,0.0,0,0,2928045857,1,0
503,5,120,52,3,3,32,3,10,8,0.0,3,-3,627550072,0,0
263,17,93,70,10,10,17,2,10,7,0.0,4,-2,1980305548,1,1
162,0,162,72,0,0,7,4,37,28,0.5,3,-1,923896836,0,0
241,5,241,241,5,6,1,2,6,5,0.83,5,0,3144773103,1,1
134,1,134,21,1,0,8,0,0,0,0.0,0,0,3905410331,0,1
409,1,409,66,1,1,8,2,4,3,0.0,1,-1,3435355013,0,0
2673,39,1202,528,20,8,24,3,26,18,-1.33,0,-8,479251625,0,1
985,59,985,333,59,22,8,6,31,20,-2.33,3,-8,1749518078,0,0
826,24,477,106,17,12,9,2,9,7,-0.5,3,-3,2554509695,0,1
399,1,399,101,1,0,8,1,4,4,0.0,0,0,1308759781,0,0
809,8,809,231,8,6,8,0,0,0,0.0,1,-2,609416909,1,0
751,8,488,222,4,3,15,2,12,10,0.0,0,0,2154086299,0,1
990,24,449,135,15,6,16,5,23,17,0.0,0,0,1180294762,1,0
334,9,334,334,9,9,2,5,11,7,0.0,8,-7,686686748,0,1
1688,12,1059,497,8,7,12,4,14,10,0.0,4,-3,2025616945,1,1
243,4,243,83,4,2,8,3,8,6,-0.33,1,-2,2349635914,1,0
692,12,692,255,12,2,8,2,20,18,0.0,1,-1,2013884970,0,0
554,4,554,118,4,0,8,3,4,2,0.0,0,0,6917906,0,0
271,0,271,94,0,0,7,5,35,24,-0.17,0,-1,3375032575,0,1
100,2,100,23,2,2,8,0,0,0,0.0,2,-2,2914583873,0,0
82,0,82,27,0,1,8,1,1,1,0.0,0,0,2938339165,1,0
156,1,156,156,1,2,2,1,3,3,0.0,1,-1,2573028377,1,0
503,4,86,31,0,0,36,1,5,5,0.0,0,0,2099959261,0,0
170,8,170,26,8,0,8,1,3,3,-0.5,1,-3,1185660999,0,0
790,19,326,130,7,4,15,3,20,17,0.0,2,-3,4213428669,0,0
379,29,379,379,29,29,2,3,12,7,0.0,0,0,4181404184,0,1
485,23,252,72,18,4,15,1,3,3,0.0,2,-2,3047553564,1,0
85,0,85,16,0,1,8,1,1,1,0.0,0,0,182769940,1,0
6105,55,1659,738,15,7,22,5,51,36,0.0,0,0,250922028,0,0
127,7,127,29,7,7,8,1,1,1,-0.17,6,-6,2245304038,1,0
139,0,139,34,0,0,8,0,0,0,0.0,0,0,3149674831,0,0
4935,132,852,410,17,6,39,4,89,67,0.0,0,0,3982710648,0,1
139,2,139,29,2,1,8,1,3,3,0.0,0,0,1857637334,1,0
825,6,619,366,5,0,10,4,27,19,0.0,0,0,4060702268,0,1
127,5,127,127,5,6,2,2,3,2,0.0,0,0,3168085693,1,1
518,2,331,82,2,2,11,1,1,1,0.0,1,-1,607753581,1,0
32,0,32,32,0,0,2,0,0,0,0.0,0,0,1642898814,0,0
313,5,158,46,2,1,14,1,1,1,-0.17,0,-1,1554761944,1,0
3010,67,1093,182,27,6,11,4,39,26,0.0,0,0,3269796063,0,1
312,1,312,74,1,2,8,1,1,1,0.0,1,-1,2472336709,1,1
609,6,301,100,3,0,14,1,4,4,-0.17,0,-1,1700664123,0,0
611,23,370,13,13,1,9,1,7,7,-0.5,0,-3,2406851719,1,1
688,36,688,277,36,22,8,3,21,15,0.0,0,0,651365968,0,0
211,17,211,211,17,17,2,2,6,5,0.0,0,0,1778040106,0,0
247,12,247,58,12,4,8,2,4,3,-0.5,2,-3,2018955978,0,0
665,6,115,21,1,1,13,1,5,5,0.0,1,-1,2805636024,1,1
1124,36,364,76,23,6,18,4,31,21,-1.5,6,-6,1552373848,0,0
1007,8,1007,306,8,1,8,2,6,5,-0.5,1,-3,1826290571,1,0
180,5,180,29,5,1,8,1,2,2,-0.33,0,-2,196819633,1,0
554,37,400,294,21,15,11,3,6,3,-1.0,2,-8,1390830434,0,1
613,13,613,323,13,10,8,3,16,12,0.5,4,-3,4274663328,0,1
1003,10,1003,235,10,8,8,1,4,4,0.0,3,-5,436772622,0,0
581,36,581,390,36,16,7,5,26,16,0.0,0,0,138896937,0,1
255,4,255,86,4,3,7,1,4,4,0.0,2,-2,1119449852,0,1
975,22,975,975,22,22,3,7,28,16,0.0,8,-12,1573812362,0,0
82,4,82,82,4,4,2,3,4,2,0.0,0,0,874708430,0,1
923,42,440,221,25,13,11,3,24,17,-0.17,0,-1,181820895,0,0
221,11,221,221,11,11,1,2,9,6,-1.83,0,-11,701422,0,1
341,3,54,12,1,0,38,1,2,2,-0.17,0,-1,3089393321,0,0
346,18,346,292,18,18,5,3,16,12,-1.5,0,-5,3161228464,0,1
135,0,135,45,0,0,7,2,5,4,0.0,0,0,2967622805,0,0
7722,121,1233,223,39,4,29,4,78,50,0.0,0,0,2287405687,0,1
1097,21,1097,806,21,20,6,2,9,8,0.0,0,0,2585610747,1,0
660,5,321,134,3,4,15,3,10,7,0.0,0,0,4203990127,1,0
138,4,138,24,4,2,8,4,12,7,0.0,2,-2,207127682,0,0
671,7,671,671,7,7,2,2,5,4,-1.17,0,-7,3445574869,0,1
3406,7,834,253,2,2,25,2,22,16,0.0,0,0,3132119634,1,0
8208,37,1538,559,7,3,39,2,4,3,0.0,0,0,3848803371,0,0
56,3,56,10,3,4,7,0,0,0,0.0,2,-1,3571289720,1,1
8019,27,978,415,1,2,41,3,75,58,0.0,1,-2,1565374994,1,0
453,4,167,41,3,2,16,1,2,2,-0.17,0,-1,3638999454,0,0
221,0,221,65,0,1,8,0,0,0,0.0,0,0,1068965494,1,0
1325,17,1325,477,17,5,8,2,7,6,-0.33,0,-2,3957947953,0,0
175,7,70,50,4,4,13,1,2,2,0.0,3,-2,3012509364,0,1
492,6,492,158,6,3,8,8,17,9,0.0,0,0,2510952742,0,1
3543,39,208,36,5,2,24,2,43,41,-0.17,0,-1,587882072,1,0
131,0,131,69,0,0,8,2,5,4,0.0,0,0,4060049641,0,0
1413,16,232,42,1,1,21,3,12,8,0.0,0,0,1001997486,1,1
756,16,133,44,7,4,18,2,14,12,0.0,0,0,3470880869,0,0
41,0,41,8,0,1,8,2,6,4,0.0,1,-1,1895795090,1,0
282,26,282,188,26,17,5,1,6,6,-1.5,5,-8,2380600060,0,1
93,1,93,20,1,0,8,1,1,1,0.0,0,0,1128799341,0,0
485,0,163,45,0,1,13,1,3,3,0.0,0,0,2323869888,1,0
7722,121,1233,223,39,4,29,4,78,50,0.0,0,0,4145535136,0,1
422,9,203,40,6,1,15,3,12,10,0.0,0,0,3793400930,1,0
421,12,353,96,8,1,10,1,2,2,0.0,1,-1,598692289,0,0
496,12,416,48,9,2,9,2,6,5,0.0,2,-2,855342993,0,0
136,0,136,64,0,1,8,2,3,2,0.0,0,0,4171194898,1,0
103,5,101,8,5,0,8,2,8,7,0.0,4,-4,4218772766,0,0
299,3,299,72,3,1,8,0,0,0,0.0,1,-1,4287287465,1,0
126,1,126,126,1,1,1,2,3,2,0.17,1,0,792139497,0,1
39,0,39,14,0,1,8,2,2,1,0.0,0,0,3066137806,1,0
188,10,188,188,10,10,1,2,5,4,0.0,0,0,48652251,0,1
74,6,74,63,6,6,5,1,3,3,0.0,6,-6,3660016018,0,0
158,2,110,26,1,0,9,1,2,2,0.0,1,-1,698656238,0,0
691,2,691,182,2,3,8,1,2,2,0.0,2,-2,364588952,1,0
175,0,175,38,0,1,8,1,1,1,0.0,0,0,412167316,1,0
671,7,671,671,7,8,2,2,5,4,-1.17,0,-7,3092057062,1,1
285,4,108,53,2,2,16,1,2,2,0.0,2,-2,291921034,0,0
144,1,144,43,1,1,8,1,1,1,0.0,0,0,1488385634,1,1
555,22,406,259,17,13,10,4,12,6,-1.0,0,-5,2459665635,0,1
103,1,103,24,1,1,8,3,4,2,0.0,0,0,229528770,1,0
606,16,606,111,16,8,8,2,14,13,0.0,1,-1,673728566,0,0
2673,39,1202,528,20,8,24,3,26,18,-1.33,0,-8,2920892190,0,1
1522,43,102,30,6,6,25,3,16,10,-0.5,0,-2,2057932196,1,0
610,12,610,190,12,0,8,4,29,22,0.0,0,0,2759410802,0,0
1439,9,1439,1094,9,6,5,3,17,12,0.0,0,0,149248384,0,1
1226,20,41,6,2,0,29,2,14,13,0.0,0,0,2860269032,0,0
469,6,469,142,6,4,8,2,5,4,0.0,3,-3,3688053375,0,1
551,9,370,135,4,0,14,4,17,12,-0.33,2,-2,2877312672,0,0
1075,70,1075,900,70,63,5,2,15,14,0.0,0,0,3036708969,1,1
178,2,75,17,1,1,15,2,4,3,0.0,1,-1,1607839896,0,0
571,32,420,67,28,10,9,4,9,6,-0.67,0,-2,3805962061,0,0
1094,11,1094,326,11,6,8,3,11,8,0.0,0,0,422730150,1,0
10,2,10,2,2,0,8,0,0,0,0.0,2,-2,1545361587,0,0
2622,73,1137,259,28,5,18,3,65,47,0.0,0,0,1507164118,1,1
278,10,278,278,10,10,3,1,6,6,-0.5,3,-6,1627126451,0,1
826,24,477,106,17,13,9,2,9,7,-0.5,3,-3,1348823494,1,1
1173,77,1166,348,77,16,8,4,23,13,-0.33,0,-2,832242403,0,0
1513,10,1513,628,10,8,6,3,16,11,0.0,0,0,2990519520,1,1
326,9,136,51,1,2,15,1,9,9,0.0,0,0,2452806146,1,0
342,4,342,103,4,2,8,1,5,5,0.0,1,-1,1285647982,0,1
379,12,269,80,12,1,11,3,13,10,0.0,0,0,1563353001,1,0
389,6,389,139,6,2,8,1,2,2,-0.17,1,-1,1025763834,0,0
139,0,139,34,0,1,8,0,0,0,0.0,0,0,133047129,1,0
1024,34,273,56,15,10,19,3,18,14,0.0,10,-10,3252692239,0,0
353,1,353,151,1,2,8,1,3,3,0.0,0,0,4250823979,1,0
829,72,349,190,23,15,13,7,65,43,-0.67,3,-7,2621065258,0,0
